pltID,LAT,LON
1_48_291_98,30.249268,-94.852554
1_48_339_105,30.204327,-95.1494
1_48_339_45,30.199414,-95.592836
1_48_339_64,30.228298,-95.700247
1_48_339_97,30.189678,-95.197028
1_48_473_38,30.19244,-95.811789
2_48_183_28,32.425181,-94.966983
2_48_365_86,32.117997,-94.399428
2_48_365_94,31.985285,-94.138513
2_48_419_10,31.893739,-94.154164
2_48_419_44,31.723964,-94.368222
3_48_21_64,30.094782,-97.123603
3_48_285_30,29.135738,-96.925578
4_48_39_15,29.413009,-95.357854
4_48_39_4,28.95501,-95.439866
5_48_309_38,31.495193,-97.243815
2_1_23_75,31.982526,-88.414859
3_1_5_25,31.75681,-85.60177
5_1_127_40,33.713478,-87.252439
1_21_195_31,37.308277,-82.436427
1_21_195_54,37.386147,-82.399651
1_21_195_69,37.465495,-82.367556
1_21_95_1,36.849475,-83.26341
1_21_95_22,36.775078,-83.151672
1_21_95_23,36.776831,-83.474111
2_21_135_40,38.557262,-83.479071
3_21_235_3,36.743385,-83.972234
4_21_79_20,37.697945,-84.489479
5_21_123_30,37.50237,-85.55569
5_21_169_17,36.836348,-85.616604
5_21_207_9,36.931263,-84.961353
5_21_29_11,38.004355,-85.791136
6_21_177_30,37.338424,-87.139658
2_22_109_225,29.499477,-90.56344
2_22_97_6,30.538177,-92.069516
2_22_99_20,29.749727,-91.16445
2_22_99_35,30.100522,-91.607085
2_22_99_50,30.230874,-91.716538
3_22_11_66,30.706353,-93.125515
3_22_19_44,30.276063,-93.610936
3_22_3_17,30.4683,-92.925953
3_22_3_19,30.888229,-92.673952
3_22_3_46,30.579714,-92.764911
3_22_3_48,30.664487,-92.617384
3_22_3_9,30.669253,-92.917774
3_22_53_28,30.3143,-93.024082
3_22_69_1,31.623402,-93.077501
3_22_79_91,31.232496,-92.465208
4_22_33_30,30.57488,-91.204507
4_22_63_33,30.517742,-90.729978
4_22_91_8,30.841095,-90.653324
5_22_17_15,32.319998,-93.861345
5_22_21_25,32.015953,-92.268734
4_28_47_130,30.535194,-89.04819
3_37_45_30,35.477994,-81.53561
3_47_111_28,36.537102,-85.896559
3_47_159_27,36.221475,-85.841902
3_47_15_26,35.951827,-86.114178
3_47_169_11,36.352421,-86.170771
3_47_3_41,35.421309,-86.295403
3_47_55_58,35.204811,-87.18754
3_47_87_34,36.256767,-85.580977
3_47_87_35,36.372382,-85.644365
4_47_133_39,36.250698,-85.245383
4_47_133_43,36.529644,-85.274099
4_47_13_52,36.325016,-84.123506
4_47_13_53,36.24444,-84.182938
4_47_141_35,36.073047,-85.64097
4_47_151_45,36.455536,-84.550768
5_47_105_25,35.767196,-84.342217
5_47_173_24,36.242303,-83.856059
5_47_179_28,36.291263,-82.500729
5_47_25_2,36.540648,-83.881241
5_47_57_32,36.371684,-83.487028
5_47_59_68,36.319155,-82.751447
5_47_93_43,36.09096,-83.756353
1_48_185_69,30.742032,-95.984298
1_48_199_15,30.371726,-94.183559
1_48_199_19,30.246576,-94.132844
1_48_199_48,30.198281,-94.584928
1_48_199_64,30.152937,-94.285073
1_48_199_78,30.150215,-94.441024
1_48_201_113,29.765775,-95.655632
1_48_201_141,30.073636,-95.56234
1_48_201_166,29.589709,-95.153714
1_48_201_72,29.850055,-94.953583
1_48_225_111,31.373344,-95.303865
1_48_241_101,30.656176,-93.888167
1_48_241_112,30.479725,-94.079875
1_48_241_113,30.737101,-93.883933
1_48_241_66,30.973975,-94.217604
1_48_241_81,30.410377,-94.105613
1_48_245_28,30.018255,-94.04219
1_48_245_81,29.756434,-94.24344
1_48_289_79,31.324644,-96.257984
1_48_291_37,29.93185,-94.643934
1_48_291_51,30.416399,-94.745613
1_48_291_57,29.935515,-94.748967
1_48_291_93,30.24531,-94.690412
1_48_339_28,30.143976,-95.705848
1_48_351_109,30.761242,-93.736325
1_48_351_11,30.285865,-93.705955
1_48_351_32,30.939804,-93.564322
1_48_351_45,30.769589,-93.61615
1_48_351_74,30.281511,-93.868148
1_48_351_76,30.417878,-93.81283
1_48_351_95,30.988042,-93.658315
1_48_361_21,30.041869,-93.770382
1_48_361_3,30.109703,-94.050011
1_48_361_38,30.196262,-93.737928
1_48_373_20,30.735005,-94.74432
1_48_373_22,31.111276,-94.791815
1_48_373_41,30.894263,-94.686451
1_48_455_68,31.018078,-95.046936
1_48_457_12,30.775471,-94.438404
1_48_457_73,30.804195,-94.278456
1_48_457_74,30.639201,-94.186547
1_48_471_77,30.873824,-95.536076
1_48_473_19,30.193174,-95.958453
1_48_5_13,31.333832,-94.82855
1_48_5_51,31.29083,-94.58478
1_48_71_42,29.812512,-94.645037
1_48_71_8,29.809082,-94.524589
2_48_1_88,31.725460000000002,-95.593413
2_48_365_66,32.067925,-94.197243
2_48_73_4,32.113261,-95.340403
4_48_157_8,29.515395,-95.449025
4_48_391_47,28.422206,-97.19246
5_48_29_9,29.258244,-98.4705
1_17_151_10234,37.540283,-88.688585
2_18_143_20048,38.632516,-85.656265
2_24_21_643,39.526591,-77.405562
2_24_43_842,39.619121,-77.858258
2_24_5_837,39.405251,-76.795001
4_26_81_20150,42.896979,-85.638741
3_29_131_20002,38.422539,-92.47482
8_36_119_2158,41.062061,-73.743787
8_36_27_2577,41.604426,-73.911625
8_36_27_5833,41.516719,-73.775892
8_36_59_1414,40.74091,-73.593405
3_39_119_2432,39.884659,-81.915935
3_39_119_3002,39.788689,-81.870826
3_39_59_2925,40.11578,-81.474702
