SITE,FD,SU,GSL,R10MM,R20MM,RX5DAY,SDII,DROUGHTLEN
4_28_109_38,21.032258064516128,208.7741935483871,361.5483870967742,55.32258064516129,26.806451612903224,175.15741935483874,15.993669867814315,29.096774193548388
4_28_111_52,31.93548387096774,208.6451612903226,360.4516129032258,55.83870967741935,25.225806451612904,157.3267741935484,15.650189652316664,30.64516129032258
4_28_153_53,36.935483870967744,203.03225806451613,358.93548387096774,55,25.870967741935484,153.15322580645164,16.17111723035314,29.967741935483872
4_28_35_42,29.387096774193548,210,360.258064516129,53.12903225806452,24.387096774193548,162.14677419354837,15.22099562326408,30.516129032258064
4_28_39_34,25.516129032258064,210.51612903225808,360.8709677419355,59.354838709677416,27.483870967741936,177.4541935483871,16.61262074906415,28.516129032258064
4_28_41_34,31.35483870967742,207.74193548387098,360.7096774193548,60.064516129032256,28.741935483870968,169.01,17.516491266641804,29.387096774193548
4_28_45_37,12.709677419354838,205,362.7741935483871,57.38709677419355,28.677419354838708,205.33419354838713,17.147923302924482,31.322580645161292
4_28_65_27,30.93548387096774,204.70967741935485,359.80645161290323,54.483870967741936,26.29032258064516,160.78064516129032,16.305665260981648,28.64516129032258
4_28_67_14,35.74193548387097,202.06451612903226,358.7741935483871,52.225806451612904,26.06451612903226,150.68516129032258,15.278292272756065,28.225806451612904
4_28_67_2,34,204.96774193548387,359.7096774193548,54.645161290322584,25.258064516129032,155.43580645161288,15.243378966075873,29.419354838709676
4_28_67_58,33.064516129032256,207.6451612903226,359.741935483871,54.645161290322584,25,155.45000000000002,15.369014769766437,30.967741935483872
4_28_77_28,30.774193548387096,202.8709677419355,359.258064516129,56.774193548387096,27.35483870967742,165.12129032258065,16.500816224379385,27.741935483870968
4_28_77_31,29.225806451612904,207.58064516129033,359.96774193548384,54.32258064516129,26.548387096774192,160.5106451612903,16.14635298136172,27.451612903225808
4_28_91_1,25.870967741935484,210.16129032258064,360.80645161290323,54.29032258064516,25.93548387096774,166.74838709677422,15.568389241670754,26.677419354838708
5_28_157_56,19.612903225806452,208.6451612903226,360.51612903225805,54.61290322580645,27.129032258064516,174.3925806451613,18.012300442527536,31.483870967741936
5_28_21_48,31.161290322580644,203.67741935483872,357.38709677419354,51.74193548387097,24.870967741935484,157.5383870967742,15.912958221658299,30.548387096774192
5_28_29_1,33.32258064516129,200.2258064516129,357.38709677419354,58.645161290322584,27.29032258064516,162.16612903225806,16.875966725860142,28.70967741935484
5_28_29_33,32.83870967741935,201.90322580645162,356.2903225806452,54.74193548387097,25.612903225806452,156.87483870967742,16.13938281857975,29.806451612903224
5_28_49_11,34.74193548387097,198,354.96774193548384,52.29032258064516,24.161290322580644,154.40483870967742,15.499570385133168,30.451612903225808
5_28_5_56,24.806451612903224,208.6451612903226,360.4193548387097,59.74193548387097,29.29032258064516,180.14612903225807,17.854236908645113,27.741935483870968
1_37_107_50,47.483870967741936,171.70967741935485,351.2258064516129,47.774193548387096,19.774193548387096,169.20548387096775,13.005180051624144,25.774193548387096
1_37_191_15,53.483870967741936,166.8709677419355,347.7096774193548,45.54838709677419,19,152.94548387096776,12.51622907887245,25.322580645161292
1_37_191_53,53.29032258064516,167.83870967741936,349.51612903225805,48.193548387096776,19.516129032258064,164.6477419354839,12.991221773640918,25.93548387096774
1_37_19_74,37.16129032258065,176.58064516129033,356.5806451612903,48,20.35483870967742,177.5464516129032,13.599488569063729,27.161290322580644
1_37_85_57,54.54838709677419,165.70967741935485,343.80645161290323,44.064516129032256,18.580645161290324,135.29645161290324,12.198871171120855,25.774193548387096
3_37_159_42,73.16129032258064,154.06451612903226,323.2258064516129,43.70967741935484,16.806451612903224,113.17870967741936,11.767651462047393,30.70967741935484
3_37_169_1,90.58064516129032,141.90322580645162,314.7096774193548,44.32258064516129,18.225806451612904,117.1532258064516,11.639901475886672,28.612903225806452
3_37_197_16,93.87096774193549,143.6451612903226,313.6774193548387,44.32258064516129,17.419354838709676,114.22870967741935,11.358031998701154,28.483870967741936
3_37_33_7,80.93548387096774,150.61290322580646,323.258064516129,43.54838709677419,16.161290322580644,120.22709677419353,11.256560343037007,30.806451612903224
3_37_35_24,71.16129032258064,149.74193548387098,324.03225806451616,47.61290322580645,17.580645161290324,109.88677419354839,12.474677640556246,30.677419354838708
3_37_45_19,74.6774193548387,158.48387096774192,332.1290322580645,48.41935483870968,19.258064516129032,119.84451612903226,12.4980677041151,30.483870967741936
3_37_63_27,79.19354838709677,149.25806451612902,322.7741935483871,44.483870967741936,17.516129032258064,120.36290322580648,12.425513263314643,28.387096774193548
3_37_97_105,69.7741935483871,156.8709677419355,328.16129032258067,43.064516129032256,15.96774193548387,107.68741935483871,11.554499406572535,29.870967741935484
4_37_111_1,82.90322580645162,142.83870967741936,321.9032258064516,50.096774193548384,21.29032258064516,134.3374193548387,12.463636567290076,26.516129032258064
4_37_193_25,93.90322580645162,116.06451612903226,305.741935483871,62.774193548387096,24.806451612903224,138.01032258064518,13.924640650002274,25.35483870967742
4_37_193_33,104.35483870967742,125.70967741935483,301,44.903225806451616,18.35483870967742,131.63967741935483,11.74364987669086,27.225806451612904
4_37_193_51,87.61290322580645,129.61290322580646,311.35483870967744,52.064516129032256,20.93548387096774,135.19645161290325,12.265232261595626,27.419354838709676
4_37_87_6,110.70967741935483,84.87096774193549,299.8709677419355,53.12903225806452,19.93548387096774,127.50451612903227,11.665909622352142,23.612903225806452
4_37_89_10,76.41935483870968,120.25806451612904,323.19354838709677,58,26.225806451612904,148.4941935483871,13.93333134489287,27.096774193548388
2_40_21_128,69.54838709677419,158.16129032258064,317.51612903225805,45.193548387096776,21.35483870967742,147.52806451612906,15.237183490876456,32.774193548387096
2_40_21_149,75.54838709677419,151.2258064516129,310.96774193548384,47.096774193548384,21.93548387096774,143.06774193548387,16.009684020918655,29.806451612903224
1_45_29_21,15.774193548387096,193.4516129032258,362.1290322580645,47.096774193548384,19.193548387096776,143.9341935483871,13.281334198181618,34.74193548387097
1_45_29_63,20.032258064516128,196.51612903225808,361.80645161290323,48.096774193548384,19.741935483870968,137.70967741935485,13.306137580944723,34.354838709677416
1_45_29_70,30.677419354838708,197.90322580645162,359.61290322580646,49,20.322580645161292,129.22290322580645,13.899510208314467,34.67741935483871
1_45_29_91,31.774193548387096,199.1290322580645,359.7741935483871,49.41935483870968,19.870967741935484,130.5251612903226,13.895495022776997,34.03225806451613
2_45_51_183,33.87096774193548,179.96774193548387,358.80645161290323,50,21.903225806451612,179.88032258064518,14.66787198584594,26.838709677419356
2_45_51_54,30.903225806451612,181.03225806451613,358.83870967741933,51.096774193548384,22.903225806451612,178.9264516129032,15.403257236726208,28.516129032258064
2_45_61_55,45.54838709677419,186.8709677419355,355.03225806451616,46.38709677419355,17.967741935483872,137.21193548387097,12.622424625292146,28.516129032258064
2_45_85_95,41.03225806451613,189.09677419354838,356.7096774193548,47.806451612903224,18.903225806451612,138.42225806451611,13.265681551475549,28.741935483870968
2_45_89_4,35.354838709677416,190.25806451612902,359.16129032258067,51.54838709677419,22.129032258064516,157.9906451612903,15.36761937044514,27.419354838709676
3_45_1_37,51.225806451612904,168.80645161290323,349.61290322580646,44.32258064516129,18.032258064516128,108.62709677419355,12.555108256856787,31.35483870967742
3_45_59_33,59.70967741935484,169.74193548387098,345.7096774193548,43.12903225806452,17.419354838709676,115.26290322580647,11.976410083059442,31.451612903225808
3_45_77_73,63.935483870967744,158.51612903225808,341.2903225806452,50.58064516129032,24.29032258064516,132.01935483870966,13.39886748559625,28.129032258064516
1_47_131_27,74.6774193548387,151.32258064516128,301.51612903225805,51.096774193548384,21.64516129032258,129.4493548387097,13.410913509701462,25.387096774193548
1_47_79_30,76.3225806451613,155,305.61290322580646,51.935483870967744,23.419354838709676,141.54129032258064,13.642782383900443,25.64516129032258
1_47_97_48,66.7741935483871,154.8709677419355,308.80645161290323,55.25806451612903,24.06451612903226,138.2138709677419,14.424873560806148,27.451612903225808
2_47_161_33,72.29032258064517,155.61290322580646,308.258064516129,51.12903225806452,22.161290322580644,138.13,13.623059183330712,25.225806451612904
2_47_99_35,74.48387096774194,156.7741935483871,323.3225806451613,56.32258064516129,25.483870967741936,151.2032258064516,14.751167911207506,27.225806451612904
3_47_111_22,80.12903225806451,147.90322580645162,310.2258064516129,56.45161290322581,25.483870967741936,132.14387096774192,15.46027770451996,26.29032258064516
3_47_117_19,74,154.09677419354838,320.3225806451613,56.935483870967744,25.29032258064516,143.3858064516129,13.854790218397904,23.451612903225808
3_47_119_47,77.12903225806451,157.6451612903226,320.38709677419354,54.87096774193548,23.806451612903224,145.81967741935486,14.191176628912892,25.870967741935484
3_47_125_23,78.54838709677419,152.96774193548387,305.83870967741933,52.16129032258065,22,137.63354838709677,13.25884343137887,26.548387096774192
3_47_159_13,81.3225806451613,152,312.61290322580646,53.03225806451613,22.677419354838708,132.9058064516129,13.287910521530485,24.483870967741936
3_47_15_13,85.19354838709677,148.51612903225808,311.4193548387097,55.193548387096776,22.64516129032258,139.42935483870968,12.857771552031599,23.483870967741936
3_47_3_19,79.61290322580645,146.51612903225808,313.83870967741933,55.83870967741935,22.806451612903224,144.53677419354838,13.095467504274271,23.612903225806452
3_47_41_15,79.80645161290323,154.74193548387098,318.2903225806452,50.87096774193548,21.387096774193548,133.5487096774194,12.314274058149861,24.032258064516128
3_47_87_20,82.48387096774194,148.41935483870967,313.1290322580645,53.806451612903224,23.838709677419356,139.83774193548388,13.625310939710593,25.806451612903224
4_47_13_33,89.35483870967742,135.06451612903226,306.35483870967744,62.32258064516129,24,131.45258064516128,13.174704378036425,21.64516129032258
4_47_175_18,74.93548387096774,153.80645161290323,321.7096774193548,52.12903225806452,20.741935483870968,132.46354838709678,12.06128947330989,25.35483870967742
4_47_185_19,85.87096774193549,133.03225806451613,305.96774193548384,56.83870967741935,24.129032258064516,140.97387096774193,12.3795623149761,22.387096774193548
4_47_185_30,89.09677419354838,124.54838709677419,302.96774193548384,60.774193548387096,25.06451612903226,144.61225806451614,12.928443014788957,22
4_47_51_40,70.12903225806451,146.83870967741936,320.64516129032256,57.41935483870968,25.64516129032258,143.14967741935487,13.513500481398834,22.903225806451612
4_47_51_83,67.7741935483871,155.25806451612902,328.38709677419354,56.41935483870968,24.774193548387096,140.92032258064512,13.441811205351078,24.580645161290324
4_47_61_23,83.74193548387096,128.16129032258064,309.6774193548387,60.12903225806452,26.387096774193548,146.0083870967742,13.018291518898554,24.161290322580644
5_47_57_19,85.61290322580645,131.32258064516128,307.4193548387097,55.064516129032256,19.93548387096774,126.82935483870966,11.74628702514456,23.677419354838708
5_47_59_51,87.74193548387096,140.5483870967742,314.8709677419355,49.38709677419355,13.290322580645162,99.78387096774195,9.99849797028444,24.35483870967742
5_47_63_8,78.3225806451613,146.2258064516129,317.80645161290323,45.74193548387097,16,107.65645161290323,10.23526475399117,25.29032258064516
5_47_63_9,80.06451612903226,141.6451612903226,315.16129032258067,47.54838709677419,16.225806451612904,107.0451612903226,10.356522651772327,23.903225806451612
